일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),일 최심적설(cm),평균 지면온도(°C)
2010/12/18,-0.8,-7.0,6.2,,3.0,1.1,75.9,0.4,-1.2
2010/12/19,5.4,-2.3,9.6,,3.4,1.1,81.0,,0.1
2010/12/20,2.9,-2.3,8.8,,2.7,0.8,90.6,,0.5
2010/12/21,2.8,-2.7,11.4,,2.1,0.4,75.5,,0.0
2010/12/22,1.9,-2.9,7.9,,3.1,0.7,81.6,,-0.1
2010/12/23,-0.7,-8.4,3.1,,4.8,2.3,58.4,,-0.5
2010/12/24,-11.0,-13.8,-8.1,,5.3,3.3,42.6,,-4.2
2010/12/25,-10.0,-13.4,-5.2,,5.8,3.1,48.6,,-4.9
2010/12/26,-9.0,-14.3,-5.6,0.0,3.4,1.3,69.1,,-4.2
2010/12/27,-4.7,-10.5,-0.5,1.1,2.5,0.8,93.5,1.1,-2.8
2010/12/28,-1.2,-6.0,1.9,6.6,4.1,1.5,87.6,6.8,-0.7
2010/12/29,-5.4,-11.6,-0.4,0.0,3.1,1.2,69.5,5.3,-1.1
2010/12/30,-5.2,-8.4,-1.9,3.2,5.5,2.3,77.3,10.1,-1.7
2010/12/31,-7.9,-10.4,-4.9,,4.2,2.2,61.6,7.7,-4.5
2011/01/01,-8.1,-14.4,-1.8,,3.0,0.9,72.5,6.9,-4.4
2011/01/02,-7.2,-13.1,0.0,,3.0,0.9,78.1,6.3,-4.4
2011/01/03,-6.0,-12.9,0.0,,3.0,0.8,79.5,6.1,-4.0
2011/01/04,-4.4,-11.3,0.1,,3.4,0.7,82.8,5.8,-3.0
2011/01/05,-3.2,-6.5,-0.4,,5.1,1.9,73.4,5.6,-1.8
2011/01/06,-7.1,-10.5,-3.5,,3.3,1.9,60.8,5.2,-4.6
2011/01/07,-7.7,-13.9,-1.4,,3.3,1.1,63.3,5.0,-5.2
2011/01/08,-3.9,-11.6,1.1,0.0,3.1,0.8,81.0,4.8,-2.9
2011/01/09,-5.7,-10.3,0.2,0.0,4.7,2.8,58.5,4.4,-3.5
2011/01/10,-8.2,-14.5,-3.1,,5.1,1.4,56.3,4.0,-5.5
2011/01/11,-5.2,-9.0,-1.6,2.7,4.7,1.4,75.9,7.4,-2.5
2011/01/12,-7.8,-11.2,-3.8,,4.4,2.1,53.5,7.4,-2.0
2011/01/13,-7.5,-15.0,0.8,,2.1,0.7,65.4,6.2,-3.2
2011/01/14,-3.1,-8.7,3.2,1.1,5.0,1.7,68.3,7.3,-1.9
2011/01/15,-11.2,-15.4,-5.5,,8.5,3.9,47.1,4.9,-3.6
2011/01/16,-13.3,-16.9,-9.8,,4.8,2.4,51.3,4.8,-5.0
2011/01/17,-10.6,-16.8,-4.3,,3.5,1.0,67.4,4.4,-4.8
2011/01/18,-7.1,-13.6,-1.9,0.0,4.3,1.0,68.5,4.0,-4.1
2011/01/19,-6.1,-11.0,-2.1,0.2,4.4,1.2,55.6,3.7,-3.3
2011/01/20,-8.2,-11.6,-4.5,0.1,4.5,1.7,55.4,3.2,-3.6
2011/01/21,-7.1,-12.0,-1.8,,3.9,1.1,60.6,2.5,-3.7
2011/01/22,-4.6,-10.7,0.5,0.5,3.7,1.3,73.1,2.8,-2.7
2011/01/23,-4.1,-7.6,-0.6,6.7,4.4,1.5,81.9,10.3,-2.6
2011/01/24,-8.0,-12.4,-4.3,,3.9,1.8,70.1,10.3,-1.4
2011/01/25,-9.8,-14.9,-4.2,,4.4,1.1,78.4,8.8,-2.1
2011/01/26,-9.1,-14.3,-4.1,,4.6,1.6,66.3,7.6,-2.6
2011/01/27,-8.5,-14.2,-4.4,,3.6,1.6,55.3,6.3,-2.9
2011/01/28,-7.1,-9.7,-2.6,,4.2,1.8,51.5,4.8,-2.3
2011/01/29,-8.2,-12.6,-4.7,,6.4,2.5,50.8,3.5,-2.8
2011/01/30,-9.2,-12.9,-5.1,,5.6,2.5,49.3,2.5,-3.2
2011/01/31,-7.6,-16.3,-1.3,0.0,3.4,0.8,75.0,1.8,-3.4
2011/02/01,-2.3,-9.5,5.8,,2.2,0.5,79.4,1.2,-2.3
2011/02/02,-0.1,-5.7,7.2,,2.3,0.5,74.3,,-1.6
2011/02/03,0.0,-4.4,5.7,,1.9,0.4,85.8,,-0.7
2011/02/04,0.8,-2.4,4.6,,3.1,0.8,87.0,,-0.2
2011/02/05,0.3,-2.4,5.3,,2.5,1.0,84.6,,0.5
2011/02/06,0.4,-3.2,3.3,,1.9,0.6,82.5,,-0.4
2011/02/07,-0.2,-3.1,3.3,,2.6,1.0,82.4,,-0.3
2011/02/08,3.0,-2.1,8.7,,5.1,1.3,59.0,,0.6
2011/02/09,-0.9,-3.8,2.3,,5.5,2.6,58.8,,0.3
2011/02/10,-2.2,-5.2,2.0,,3.4,1.2,52.9,,-0.7
2011/02/11,-3.2,-7.8,1.6,,4.4,1.8,57.9,,-0.6
2011/02/12,-5.5,-8.2,-2.0,,3.9,2.0,53.1,,-1.7
2011/02/13,-5.4,-11.2,0.5,,3.7,1.0,58.6,,-2.0
2011/02/14,-3.9,-8.6,-0.2,,3.4,1.1,63.9,,-1.3
2011/02/15,-2.7,-7.8,3.7,,3.7,1.1,68.4,,-1.0
2011/02/16,-1.5,-7.9,4.4,,2.3,0.8,71.3,,-0.9
2011/02/17,0.1,-2.6,4.0,0.9,3.9,1.4,81.9,1.1,0.7
2011/02/18,0.1,-5.3,7.6,,3.0,1.0,73.6,,0.7
2011/02/19,0.1,-5.9,7.8,,4.3,1.2,69.9,,0.8
2011/02/20,4.3,-5.0,13.3,,3.9,1.2,60.0,,1.8
2011/02/21,4.9,-0.8,12.6,,4.0,1.9,56.6,,2.3
2011/02/22,4.0,-2.8,13.4,,3.3,0.8,67.9,,2.4
2011/02/23,3.2,-4.2,12.2,,3.0,0.9,72.6,,2.5
2011/02/24,4.8,-1.7,11.6,,4.3,1.4,75.3,,3.1
2011/02/25,2.2,-1.9,7.4,,4.7,2.3,58.1,,1.9
2011/02/26,6.1,-3.6,13.4,,5.3,1.9,49.9,,2.6
2011/02/27,5.5,3.1,8.1,48.5,6.9,3.4,92.6,,2.6
2011/02/28,4.0,1.9,6.6,0.4,6.0,2.8,83.3,,2.5
2011/03/01,1.0,-1.7,3.8,2.0,4.3,2.3,82.8,,1.2
2011/03/02,-1.4,-4.0,2.0,,6.5,3.1,50.1,,1.1
2011/03/03,-1.5,-6.7,2.3,,5.9,2.3,51.0,,1.1
2011/03/04,-0.2,-5.7,5.4,,5.6,2.0,61.1,,1.6
2011/03/05,1.1,-3.8,6.9,,3.0,1.2,76.5,,1.7
2011/03/06,3.3,-1.4,8.7,,3.8,1.4,80.4,,3.4
2011/03/07,2.1,-0.5,5.8,,7.1,3.0,56.0,,2.8
2011/03/08,1.9,-2.9,6.9,,7.4,3.1,58.8,,1.5
2011/03/09,1.1,-1.8,5.4,,6.7,3.1,49.6,,2.4
2011/03/10,1.2,-4.7,7.1,,7.0,2.2,69.5,,2.7
2011/03/11,3.6,-2.2,10.1,,5.5,1.5,58.9,,3.5
2011/03/12,7.2,-0.4,14.6,,5.1,1.6,56.6,,4.6
2011/03/13,10.1,3.9,16.9,,3.3,1.0,71.6,,8.0
2011/03/14,6.2,3.4,8.7,0.0,4.2,1.7,88.5,,6.8
2011/03/15,1.9,-1.9,7.1,,8.1,3.8,53.6,,4.7
2011/03/16,0.4,-2.5,4.0,,5.9,3.1,42.8,,2.9
2011/03/17,0.9,-4.9,6.5,,5.3,2.0,48.3,,3.3
2011/03/18,5.1,-3.6,13.0,,4.3,1.6,48.4,,4.2
2011/03/19,9.1,5.3,15.4,0.0,4.5,2.2,59.4,,8.7
2011/03/20,6.2,3.4,11.1,11.5,4.5,1.5,81.8,,7.7
2011/03/21,7.7,4.1,13.0,,5.1,2.1,61.4,,8.5
2011/03/22,2.6,-0.2,7.2,,6.3,3.9,36.4,,5.3
2011/03/23,2.0,-3.9,7.2,,5.8,1.9,52.1,,4.1
2011/03/24,3.0,-0.8,9.2,9.6,5.2,1.7,75.4,1.5,4.5
2011/03/25,2.5,-0.9,6.5,,6.8,2.9,59.8,1.5,4.7
2011/03/26,3.3,-2.0,8.1,,5.4,2.2,54.5,,5.0
2011/03/27,5.0,-1.4,10.9,0.0,4.8,2.0,62.5,,6.4
2011/03/28,5.3,1.2,9.4,0.3,4.9,2.2,74.6,,8.1
2011/03/29,4.2,0.3,9.4,,4.8,1.8,77.1,,7.3
2011/03/30,6.7,0.1,14.2,,4.4,1.8,72.0,,8.3
2011/03/31,7.7,0.0,16.9,,3.7,1.4,73.3,,9.2
2011/04/01,7.9,0.2,15.6,,4.8,1.4,61.4,,9.6
2011/04/02,7.2,2.5,12.6,,3.3,0.9,73.5,,8.2
2011/04/03,8.3,1.8,15.4,,4.6,1.5,69.9,,9.9
2011/04/04,8.1,1.2,16.5,,4.5,1.6,58.9,,10.2
2011/04/05,8.7,1.2,17.5,,4.9,1.4,50.4,,10.3
2011/04/06,9.7,0.8,17.4,0.0,4.7,1.3,45.8,,9.9
2011/04/07,9.7,7.5,11.5,19.0,3.0,1.1,97.8,,10.0
2011/04/08,10.8,6.7,17.3,,5.0,2.0,69.3,,12.9
2011/04/09,9.0,3.5,16.4,,3.3,1.3,73.1,,11.8
2011/04/10,10.0,5.6,16.4,0.5,5.4,1.8,71.4,,10.5
2011/04/11,10.0,6.3,14.7,,6.9,3.4,47.6,,11.6
2011/04/12,9.1,2.0,16.2,,5.3,2.0,50.8,,11.1
2011/04/13,10.4,2.7,17.3,,4.4,1.5,54.1,,11.9
2011/04/14,11.6,4.2,19.1,,4.7,1.2,52.1,,13.2
2011/04/15,12.2,8.6,21.0,0.0,5.2,1.7,81.9,,16.0
2011/04/16,11.1,6.4,17.7,,4.5,2.0,42.0,,15.2
2011/04/17,11.0,4.1,19.6,,5.4,2.1,65.0,,15.5
2011/04/18,6.8,5.4,10.4,1.5,4.5,2.3,80.5,,9.3
2011/04/19,10.1,6.3,15.8,,5.9,2.5,53.3,,12.8
2011/04/20,10.6,4.2,17.7,,5.2,2.1,61.8,,13.9
2011/04/21,13.3,6.1,19.0,0.0,4.0,1.3,45.0,,13.6
2011/04/22,9.6,8.4,14.4,22.5,5.6,2.2,91.4,,11.2
2011/04/23,9.8,6.3,13.8,,6.6,3.3,66.6,,13.1
2011/04/24,9.1,4.5,14.5,,7.2,3.0,72.5,,12.9
2011/04/25,11.6,5.7,16.7,1.5,7.0,2.7,69.3,,14.8
2011/04/26,10.6,9.6,12.0,3.5,6.8,3.1,89.0,,10.3
2011/04/27,11.0,6.9,14.6,1.5,5.0,2.1,84.6,,11.2
2011/04/28,10.3,6.7,14.9,,5.9,2.5,66.3,,13.5
2011/04/29,13.0,5.0,19.4,0.4,6.0,1.9,59.1,,11.4
2011/04/30,12.8,10.5,14.8,136.0,6.5,2.5,89.0,,12.1
2011/05/01,10.8,8.1,13.7,,5.5,2.7,73.4,,14.2
2011/05/02,12.6,6.6,19.4,,4.1,1.5,60.3,,15.0
2011/05/03,13.1,8.7,19.1,,6.4,2.0,54.1,,15.4
2011/05/04,13.6,6.4,21.6,,3.3,1.1,49.1,,14.6
2011/05/05,15.4,8.3,22.6,,4.5,1.8,41.6,,16.3
2011/05/06,14.6,9.4,18.0,0.4,5.2,1.5,61.4,,13.5
2011/05/07,13.8,11.1,21.7,3.0,5.8,2.1,78.5,,17.0
2011/05/08,16.2,10.4,22.7,,3.4,1.2,55.1,,18.6
2011/05/09,18.0,13.9,23.3,0.4,7.5,2.4,73.5,,17.4
2011/05/10,16.4,14.5,18.1,19.0,3.7,1.2,86.5,,16.8
2011/05/11,16.5,14.0,19.6,35.5,6.8,3.3,73.9,,15.9
2011/05/12,14.9,10.5,20.4,,6.5,2.4,59.5,,16.5
2011/05/13,12.6,7.9,18.1,,5.6,2.6,56.5,,16.1
2011/05/14,15.0,8.7,21.7,,5.3,1.9,44.1,,16.9
2011/05/15,16.3,10.3,23.1,,6.1,2.8,47.0,,17.1
2011/05/16,14.7,8.4,20.9,,5.4,1.8,47.3,,17.8
2011/05/17,15.2,7.7,21.4,,4.1,1.3,42.4,,17.8
2011/05/18,18.7,10.2,25.1,,5.3,2.1,46.9,,17.9
2011/05/19,19.6,16.4,23.5,,6.6,3.0,55.5,,18.4
2011/05/20,16.8,14.2,19.9,14.0,5.1,1.6,81.0,,17.7
2011/05/21,13.9,12.3,16.9,1.5,3.6,1.2,79.4,,15.2
2011/05/22,16.2,10.4,23.1,,3.4,1.3,56.0,,18.3
2011/05/23,17.0,12.2,24.2,,3.9,1.1,50.5,,18.1
2011/05/24,17.8,9.2,26.2,,3.7,0.9,50.8,,18.5
2011/05/25,20.9,13.6,27.0,,3.9,1.2,44.8,,18.9
2011/05/26,17.8,14.2,21.0,0.0,6.2,2.1,49.5,,16.9
2011/05/27,17.2,12.5,23.0,,3.7,1.4,58.3,,18.2
2011/05/28,18.9,12.4,26.3,,3.9,1.2,56.5,,20.0
2011/05/29,20.9,13.8,29.0,,4.8,1.6,47.5,,22.0
2011/05/30,20.1,14.7,25.9,0.0,3.6,1.7,45.5,,21.2
2011/05/31,18.2,16.0,22.0,0.4,5.1,2.1,60.4,,19.0
2011/06/01,16.3,13.8,20.4,18.5,5.7,2.2,77.0,,17.5
2011/06/02,16.9,13.2,23.3,,3.8,1.5,73.2,,19.5
2011/06/03,17.6,12.7,24.3,,4.7,2.0,65.0,,20.7
2011/06/04,17.7,15.4,22.9,0.0,4.7,2.1,72.6,,20.4
2011/06/05,18.6,14.1,24.8,,4.8,1.8,62.4,,22.3
2011/06/06,18.6,11.7,25.2,,3.0,1.3,55.5,,21.1
2011/06/07,18.6,12.0,25.8,0.2,4.2,1.2,54.9,,20.8
2011/06/08,20.0,14.2,25.9,,4.2,1.8,59.1,,21.9
2011/06/09,18.2,16.4,21.3,0.4,2.4,1.3,75.5,,19.4
2011/06/10,20.2,15.6,22.9,0.0,2.4,1.1,68.4,,19.8
2011/06/11,21.5,16.8,27.3,,5.3,1.8,55.8,,23.2
2011/06/12,20.9,15.6,28.1,,4.7,1.5,56.3,,23.3
2011/06/13,19.6,15.2,26.2,0.4,4.6,1.9,76.8,,22.5
2011/06/14,21.5,15.1,28.3,,3.7,1.6,73.6,,23.1
2011/06/15,23.8,16.9,31.6,,3.7,1.2,63.9,,24.0
2011/06/16,25.6,17.6,32.6,,3.8,1.6,52.8,,25.3
2011/06/17,24.1,20.2,30.1,0.0,4.6,2.0,55.4,,23.5
2011/06/18,23.0,19.2,28.1,,3.4,1.4,68.9,,23.9
2011/06/19,25.3,18.2,32.6,,4.3,1.3,63.6,,24.8
2011/06/20,24.5,20.3,30.7,,5.3,2.0,67.5,,25.5
2011/06/21,23.8,18.6,29.5,,3.9,1.6,69.4,,25.6
2011/06/22,23.2,20.4,26.8,3.0,3.5,1.6,89.4,,23.0
2011/06/23,22.8,21.7,24.7,24.5,6.5,2.8,96.8,,21.6
2011/06/24,20.4,18.8,22.8,36.0,4.6,1.4,95.8,,20.8
2011/06/25,19.2,18.0,20.6,33.0,6.3,3.4,94.8,,19.1
2011/06/26,21.3,18.4,24.5,22.5,9.9,5.7,86.6,,19.2
2011/06/27,19.9,18.9,21.2,13.0,6.4,2.9,92.9,,18.9
2011/06/28,24.1,18.3,30.6,1.0,3.5,1.3,77.9,,23.7
2011/06/29,22.0,20.4,24.0,166.5,5.8,1.3,98.9,,21.0
2011/06/30,25.0,21.6,28.5,72.5,3.5,1.3,90.6,,23.0
2011/07/01,25.6,23.3,29.9,,3.3,1.3,85.0,,25.5
2011/07/02,25.2,22.6,29.8,,2.9,1.1,89.8,,24.1
2011/07/03,22.6,20.2,25.0,190.0,4.4,1.3,99.0,,22.1
2011/07/04,22.5,18.6,27.9,,5.3,1.7,83.0,,23.4
2011/07/05,23.4,18.7,30.9,,3.6,1.4,78.5,,23.4
2011/07/06,25.0,18.9,32.0,,2.9,0.9,72.0,,23.9
2011/07/07,23.2,21.9,25.8,49.5,5.3,1.6,92.0,,22.2
2011/07/08,22.6,21.1,25.2,27.0,2.6,1.1,95.1,,22.3
2011/07/09,24.7,21.5,29.7,17.0,3.1,1.3,90.1,,23.5
2011/07/10,23.7,21.3,26.5,11.5,4.3,1.7,93.3,,23.2
2011/07/11,21.7,21.0,23.1,32.0,4.1,1.5,97.1,,21.3
2011/07/12,23.4,21.1,26.0,56.0,4.8,1.7,96.1,,21.7
2011/07/13,24.5,22.7,26.8,14.0,3.0,1.5,97.0,,23.1
2011/07/14,24.6,22.9,28.1,49.0,4.2,1.4,97.0,,23.7
2011/07/15,24.2,22.2,28.4,10.5,5.3,1.7,95.6,,23.3
2011/07/16,24.9,22.3,28.6,33.0,,,94.6,,25.0
2011/07/17,26.4,23.0,31.9,0.3,3.2,1.3,87.8,,25.8
2011/07/18,29.9,24.7,35.8,,6.0,2.5,70.8,,27.8
2011/07/19,29.3,25.7,34.1,,7.7,3.9,62.8,,26.4
2011/07/20,28.5,24.9,32.8,,5.5,2.9,57.5,,26.6
2011/07/21,27.6,23.0,33.0,,5.5,2.6,64.8,,26.7
2011/07/22,24.0,20.8,25.8,3.5,3.2,1.3,91.0,,24.2
2011/07/23,25.9,23.4,30.2,0.0,3.4,1.3,84.4,,25.6
2011/07/24,24.7,22.2,27.9,14.0,3.7,1.6,92.9,,24.9
2011/07/25,26.8,24.0,30.5,0.0,3.0,1.5,82.8,,25.7
2011/07/26,26.8,23.4,31.0,57.0,7.0,2.4,84.3,,25.9
2011/07/27,26.3,23.8,28.9,104.0,7.9,2.2,93.4,,24.5
2011/07/28,25.5,23.1,27.4,81.5,5.7,2.0,94.6,,23.9
2011/07/29,27.0,24.6,30.9,7.5,3.5,1.5,85.4,,26.7
2011/07/30,27.5,24.9,31.2,0.0,3.4,1.1,84.5,,27.2
2011/07/31,25.4,24.1,27.5,37.0,3.8,1.8,94.6,,24.9
2011/08/01,27.0,24.1,30.4,4.0,3.7,2.0,86.6,,25.5
2011/08/02,27.4,24.9,32.3,14.0,5.0,2.3,83.4,,26.8
2011/08/03,26.6,24.1,30.7,0.5,3.8,1.9,86.1,,26.1
2011/08/04,26.3,24.1,29.8,0.5,2.5,1.1,89.9,,25.0
2011/08/05,30.1,23.8,35.6,,3.2,1.3,71.6,,28.2
2011/08/06,29.3,26.4,33.2,0.0,4.8,2.7,71.5,,27.4
2011/08/07,28.9,25.1,33.1,6.0,9.1,4.9,72.8,,26.9
2011/08/08,25.2,24.2,27.7,30.0,8.9,5.7,90.1,,23.4
2011/08/09,25.2,23.7,28.0,1.5,3.6,1.9,89.8,,25.2
2011/08/10,25.7,23.5,29.5,0.3,3.7,1.6,90.3,,25.9
2011/08/11,26.9,24.7,30.9,0.0,4.0,1.7,88.0,,27.0
2011/08/12,25.3,23.7,28.7,55.5,3.5,1.6,94.9,,25.3
2011/08/13,25.9,23.9,28.4,8.0,4.9,1.8,91.6,,24.7
2011/08/14,25.5,23.5,29.0,19.5,4.9,1.2,92.5,,25.1
2011/08/15,25.2,23.4,28.2,0.5,2.0,0.8,93.0,,25.0
2011/08/16,25.2,23.8,28.2,102.5,4.4,1.4,96.6,,24.4
2011/08/17,24.4,23.7,25.0,67.5,3.7,0.8,99.0,,23.6
2011/08/18,26.1,22.8,30.5,0.0,4.9,1.5,81.0,,26.5
2011/08/19,24.4,22.3,27.6,0.0,3.0,1.3,86.3,,24.7
2011/08/20,22.7,20.6,26.1,,3.1,1.4,86.9,,23.3
2011/08/21,23.9,18.6,30.5,,3.7,1.3,77.5,,24.3
2011/08/22,24.1,20.5,29.7,4.5,5.1,1.4,78.6,,24.1
2011/08/23,24.8,18.6,30.5,,3.6,1.5,68.4,,24.6
2011/08/24,24.7,20.8,29.2,,4.1,1.8,69.0,,23.8
2011/08/25,25.9,21.5,29.9,0.3,3.8,1.7,69.4,,25.0
2011/08/26,26.6,23.5,30.7,,4.5,2.7,69.0,,25.4
2011/08/27,27.4,23.9,32.1,,4.3,2.1,71.1,,26.3
2011/08/28,27.2,24.0,32.5,,3.8,1.8,75.0,,26.8
2011/08/29,27.2,23.9,31.7,0.0,3.7,1.4,80.4,,26.1
2011/08/30,27.3,24.0,33.0,0.0,4.6,1.0,78.3,,27.3
2011/08/31,27.1,23.0,32.4,,3.8,1.2,77.9,,28.6
2011/09/01,26.3,21.3,31.7,,4.1,1.5,76.4,,27.9
2011/09/02,27.4,22.6,33.3,,5.1,2.0,66.1,,29.0
2011/09/03,25.9,22.1,31.2,,7.5,2.9,57.0,,26.6
2011/09/04,24.8,20.8,29.9,,4.8,2.3,53.5,,26.5
2011/09/05,23.8,18.6,28.7,,5.5,1.9,64.9,,26.4
2011/09/06,22.7,17.8,27.9,,4.7,1.9,71.0,,25.4
2011/09/07,22.1,16.4,27.5,,2.9,1.3,69.8,,23.5
2011/09/08,22.1,20.2,25.7,0.4,3.5,1.3,68.0,,22.9
2011/09/09,20.1,19.5,21.3,3.0,1.8,0.6,85.9,,19.5
2011/09/10,21.2,18.9,24.8,1.0,5.3,2.1,80.6,,20.3
2011/09/11,20.9,18.7,23.3,9.5,3.9,1.7,92.0,,20.4
2011/09/12,23.7,20.2,28.5,,2.4,0.9,79.5,,23.3
2011/09/13,25.0,21.2,29.5,,2.5,0.9,72.6,,25.6
2011/09/14,24.6,21.7,29.4,,2.5,1.1,82.4,,24.2
2011/09/15,25.7,21.3,30.8,,3.4,1.4,78.8,,26.0
2011/09/16,25.3,20.4,31.3,,3.9,1.1,78.6,,28.0
2011/09/17,26.0,21.7,31.0,,3.4,1.4,78.4,,26.1
2011/09/18,21.9,18.6,26.5,2.0,6.2,3.0,72.6,,21.0
2011/09/19,17.4,14.3,19.0,0.4,5.7,3.0,67.5,,17.0
2011/09/20,17.6,11.4,22.3,,5.3,2.2,59.3,,18.9
2011/09/21,18.9,14.7,24.6,,4.8,2.2,51.8,,22.4
2011/09/22,17.6,9.9,24.1,,4.1,1.3,67.5,,21.1
2011/09/23,18.6,12.2,25.8,,4.0,1.0,70.1,,21.5
2011/09/24,18.9,13.6,25.9,,4.3,1.5,72.0,,19.6
2011/09/25,19.4,13.4,26.8,,4.0,1.0,75.0,,22.1
2011/09/26,20.1,13.6,28.5,,2.3,0.6,72.9,,22.2
2011/09/27,20.5,14.5,28.4,,5.2,1.8,62.0,,22.5
2011/09/28,20.0,15.9,23.5,,4.5,2.0,65.9,,18.7
2011/09/29,17.4,16.1,19.5,16.5,3.5,1.6,90.0,,15.9
2011/09/30,15.6,11.0,19.0,,5.5,3.2,57.0,,16.7
2011/10/01,12.5,7.4,16.9,,4.4,1.8,61.5,,14.2
2011/10/02,13.7,7.4,18.6,,4.2,1.7,54.9,,14.0
2011/10/03,12.7,5.6,20.6,,3.7,1.1,63.6,,14.2
2011/10/04,14.5,7.1,21.2,,3.4,0.9,62.6,,14.8
2011/10/05,16.1,12.1,22.3,,4.1,1.1,62.8,,16.8
2011/10/06,15.8,12.1,21.1,,7.0,2.2,66.3,,16.5
2011/10/07,14.6,8.7,20.9,,4.3,1.2,70.6,,15.9
2011/10/08,15.3,9.3,22.3,,3.0,0.8,74.3,,16.0
2011/10/09,16.1,10.6,22.6,,2.4,0.6,75.1,,15.5
2011/10/10,16.2,11.0,22.6,,2.4,0.8,79.5,,16.1
2011/10/11,15.3,10.4,22.0,,4.2,1.0,76.1,,16.2
2011/10/12,14.2,8.4,19.9,,2.9,0.7,72.3,,13.4
2011/10/13,15.9,8.7,23.8,,3.7,0.6,74.1,,15.7
2011/10/14,14.8,13.0,15.8,7.0,4.1,0.9,88.1,,13.4
2011/10/15,13.7,10.7,19.1,20.5,,,91.0,,13.8
2011/10/16,14.7,10.2,19.8,2.5,,,74.1,,14.0
2011/10/17,11.2,7.1,15.8,,,,50.6,,11.1
2011/10/18,8.9,2.0,16.2,,2.9,0.8,58.8,,9.9
2011/10/19,12.5,3.3,21.5,,2.6,0.6,63.0,,11.4
2011/10/20,15.7,10.7,21.6,,4.1,1.8,65.9,,12.9
2011/10/21,17.2,11.1,22.0,0.3,3.8,1.6,68.1,,14.3
2011/10/22,16.5,12.3,22.0,1.5,3.2,1.0,79.5,,15.1
2011/10/23,16.2,10.1,21.7,0.0,3.0,1.0,79.4,,14.4
2011/10/24,13.2,8.8,16.2,0.1,5.1,2.3,77.3,,11.7
2011/10/25,8.4,5.7,12.5,,5.6,2.9,45.4,,7.9
2011/10/26,8.1,1.2,16.3,,2.3,0.8,66.5,,8.1
2011/10/27,11.5,4.5,19.2,,3.1,0.8,63.9,,9.2
2011/10/28,13.5,10.0,20.0,,3.1,0.7,71.8,,11.7
2011/10/29,12.7,10.8,14.9,6.5,2.1,0.7,89.5,,11.3
2011/10/30,14.7,9.9,20.7,,3.5,1.1,72.1,,13.1
2011/10/31,13.7,6.7,23.1,,2.0,0.4,68.9,,10.7
2011/11/01,15.3,7.5,22.7,,4.7,1.1,65.3,,11.9
2011/11/02,15.8,11.0,22.5,,3.1,1.0,65.9,,12.7
2011/11/03,16.1,7.9,24.6,,2.4,0.5,73.4,,12.1
2011/11/04,19.7,13.1,25.3,0.1,4.2,1.4,76.1,,15.5
2011/11/05,20.3,15.7,25.8,0.1,4.3,1.0,76.6,,16.3
2011/11/06,16.1,13.8,20.2,12.5,4.1,2.3,83.4,,14.2
2011/11/07,15.8,13.6,18.9,,2.9,1.0,78.3,,14.0
2011/11/08,14.9,10.8,19.8,,3.6,1.1,82.4,,12.7
2011/11/09,15.1,12.9,18.3,,4.8,2.8,69.4,,11.8
2011/11/10,14.6,10.7,17.6,,4.4,2.1,65.0,,10.8
2011/11/11,13.2,10.9,16.0,3.0,2.4,1.2,79.0,,11.5
2011/11/12,11.8,8.2,16.4,,4.7,1.2,78.0,,9.5
2011/11/13,11.8,7.5,15.9,,5.0,2.1,62.9,,8.7
2011/11/14,7.0,2.4,11.7,,4.2,1.7,51.3,,4.3
2011/11/15,6.8,0.5,13.4,,3.1,0.9,62.8,,4.0
2011/11/16,9.5,2.9,16.1,,3.4,0.8,68.0,,6.1
2011/11/17,13.9,8.6,18.1,0.0,6.0,2.2,61.9,,9.2
2011/11/18,15.5,12.1,19.4,2.5,3.6,1.9,87.5,,12.5
2011/11/19,12.1,4.7,16.6,0.0,4.9,2.9,82.0,,10.4
2011/11/20,1.7,-0.8,4.7,,6.1,3.6,49.4,,0.7
2011/11/21,2.1,-1.9,7.1,,3.5,1.2,49.9,,-0.2
2011/11/22,6.2,1.5,8.8,0.0,3.7,2.0,57.6,,2.9
2011/11/23,4.0,-1.0,8.2,2.0,6.5,3.1,73.4,,3.1
2011/11/24,-0.1,-3.8,3.1,,4.3,2.1,55.0,,-1.4
2011/11/25,3.3,0.3,8.5,0.0,2.0,0.9,66.4,,0.8
2011/11/26,6.6,-0.3,10.1,,3.5,1.3,68.9,,3.1
2011/11/27,13.2,9.5,17.0,0.0,4.9,1.0,77.6,,8.6
2011/11/28,14.7,11.6,20.8,,3.7,1.0,85.8,,10.1
2011/11/29,11.8,10.0,13.7,0.1,4.3,1.1,96.3,,9.5
2011/11/30,6.1,4.6,10.2,26.0,5.9,2.9,87.1,,6.2
2011/12/01,6.9,5.2,9.9,,4.2,2.6,62.9,,5.4
2011/12/02,6.6,3.8,8.9,0.5,4.8,2.7,65.4,,3.8
2011/12/03,6.0,3.7,9.4,4.0,3.7,1.4,79.8,,4.2
2011/12/04,3.9,1.0,6.8,,4.1,2.0,58.9,,1.7
2011/12/05,1.9,-1.7,5.7,,3.2,1.0,51.9,,-1.0
2011/12/06,4.7,0.9,9.0,,3.5,1.0,50.6,,1.1
2011/12/07,5.3,2.3,7.6,,3.6,1.4,65.3,,2.7
